序號,1,1
規範版本,民國113年,民國113年
反應譜回歸期,475年,2500年
定位經度座標(WGS84),120.2245,120.2245
定位緯度座標(WGS84),23.0382,23.0382
工址行政區位置,臺南市永康區,臺南市永康區
工址短週期譜加速度係數(Sas),0.8,1
工址一秒週期譜加速度係數(Sa1),0.675,0.77
等效地表加速度峰值(EPA)係數(=0.4×Sas),0.32,0.4
短週期與中週期分界之轉換週期T0(秒),0.844,0.77
較短週期與短週期分界之轉換週期(秒),0.169,0.154
中週期與長週期分界之轉換週期(秒),2.11,1.925
震區類別,近斷層震區,近斷層震區
一般區域震區短週期譜加速度係數(Ss),0.8,1
一般區域震區一秒週期譜加速度係數(S1),0.45,0.55
鄰近斷層名稱,新化斷層,新化斷層
工址-斷層最短距離(km),7.86,7.86
近斷層區域震區短週期譜加速度係數(Ss|NF),0.8,1
近斷層區域震區一秒週期譜加速度係數(S1|NF),0.45,0.55
地盤類別,第三類地盤,第三類地盤
短週期工址放大係數(Fa),1,1
一秒週期工址放大係數(Fv),1.5,1.4
譜週期(秒)\長週期不受限制之水平Sa值(g),[113年版規範][475年][臺南市永康區][近斷層震區][新化斷層(7.86km)][第三類地盤],[113年版規範][2500年][臺南市永康區][近斷層震區][新化斷層(7.86km)][第三類地盤]
0.327454916,0.8,1
0.351119173,0.8,1
0.376493581,0.8,1
0.403701726,0.8,1
0.432876128,0.8,1
0.464158883,0.8,1
0.497702356,0.8,1
0.533669923,0.8,1
0.572236766,0.8,1
0.613590727,0.8,1
0.657933225,0.8,1
0.705480231,0.8,1
0.756463328,0.8,1
0.811130831,0.8,0.949
0.869749003,0.776,0.885
0.932603347,0.724,0.826
1,0.675,0.77
1.072267222,0.63,0.718
1.149756995,0.587,0.67
1.232846739,0.548,0.625
1.321941148,0.511,0.582
1.417474163,0.476,0.543
1.519911083,0.444,0.507
1.629750835,0.414,0.472
1.7475284,0.386,0.441
1.873817423,0.36,0.411
2.009233003,0.336,0.4
2.15443469,0.32,0.4
2.3101297,0.32,0.4
2.477076356,0.32,0.4
2.656087783,0.32,0.4
2.848035868,0.32,0.4
3.053855509,0.32,0.4
3.274549163,0.32,0.4
3.511191734,0.32,0.4
3.764935807,0.32,0.4
4.037017259,0.32,0.4
4.328761281,0.32,0.4
4.641588834,0.32,0.4
4.977023564,0.32,0.4
5.336699231,0.32,0.4
5.722367659,0.32,0.4
6.135907273,0.32,0.4
6.579332247,0.32,0.4
7.054802311,0.32,0.4
7.564633276,0.32,0.4
8.111308308,0.32,0.4
8.697490026,0.32,0.4
9.326033469,0.32,0.4
10,0.32,0.4
